epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,45320.8,0.23088,0.19359,0.80415,0.89458,0.86667,0.90961,0.52905,1.62937,0.75155,1.7516,0.00032168,0.00032168,0.00032168
86,45403.6,0.22821,0.19158,0.8033,0.88241,0.8786,0.91267,0.53113,1.6273,0.75559,1.75635,0.0003017,0.0003017,0.0003017
87,45485.9,0.22254,0.18796,0.8021,0.8993,0.86807,0.91489,0.53152,1.63003,0.7619,1.75889,0.00028172,0.00028172,0.00028172
88,45568.4,0.22096,0.18614,0.80094,0.87941,0.89044,0.91428,0.53151,1.62888,0.75944,1.7572,0.00026174,0.00026174,0.00026174
89,45651.5,0.21208,0.18249,0.79956,0.89483,0.87177,0.9135,0.5317,1.63195,0.76392,1.75905,0.00024176,0.00024176,0.00024176
90,45734.5,0.20842,0.18036,0.79887,0.88124,0.88632,0.91239,0.52972,1.63308,0.76638,1.76477,0.00022178,0.00022178,0.00022178
91,45818.6,0.20453,0.17845,0.79788,0.89383,0.86947,0.91251,0.52916,1.63138,0.76288,1.76883,0.0002018,0.0002018,0.0002018
92,45901.7,0.19601,0.17326,0.79639,0.89341,0.87055,0.9105,0.52838,1.63299,0.77148,1.77342,0.00018182,0.00018182,0.00018182
93,45985.5,0.19328,0.17299,0.79572,0.87487,0.89294,0.91186,0.52724,1.63315,0.77266,1.77671,0.00016184,0.00016184,0.00016184
94,46070.3,0.18826,0.17029,0.79481,0.88072,0.8807,0.90998,0.52473,1.63379,0.77568,1.77684,0.00014186,0.00014186,0.00014186
95,46154.1,0.18488,0.16795,0.79399,0.8814,0.8786,0.91059,0.52627,1.63324,0.77659,1.77696,0.00012188,0.00012188,0.00012188
96,46241,0.18225,0.16571,0.79344,0.87473,0.89182,0.91095,0.52751,1.63246,0.78026,1.77816,0.0001019,0.0001019,0.0001019
97,46333,0.17604,0.16282,0.79278,0.87872,0.88561,0.9109,0.52771,1.63229,0.78412,1.78111,8.192e-05,8.192e-05,8.192e-05
98,46426.8,0.17267,0.1616,0.7923,0.8763,0.88842,0.91038,0.52808,1.63048,0.78358,1.78217,6.194e-05,6.194e-05,6.194e-05
99,46522.7,0.16887,0.15882,0.79134,0.87665,0.88778,0.91107,0.52882,1.63193,0.78641,1.78449,4.196e-05,4.196e-05,4.196e-05
100,46620.2,0.16657,0.15768,0.79124,0.87397,0.89404,0.91238,0.52881,1.632,0.79028,1.78494,2.198e-05,2.198e-05,2.198e-05
